1. Principles of control theory,Define the term of internal environment and explain the importance of its control?,Define the terms homeostasis and homeostatic parameters. List at least 5 controlled functions and/or parameters in human.,Distinguish between guidance and control.,Describe the major forms of physiological controlling circuits.,Describe the parts of the neuronal reflex arch and explain their respective functions in control.,"Define negative and positive feedback control. Give examples for processes controlled by negative feedback, positive feedback.","Characterize endocrine, paracrine and autocrine humoral control based on the release site of the mediators and their path to the target cells.","Define ""behavioural control"" and explain its importance/necessity. Give examples!",How can the efficiency of control systems be expressed quantitatively?,Define the term servo-control mechanism.,,,,,,,
"83. Thermoregulation, cutaneous blood flow.","Diagram the thermal balance for the body, including metabolic heat production, heat exchange mechanisms, and heat loss through evaporation.",Contrast the stability of body core with the variability of body shell (skin) temperature.,"Give the normal values of core body temperatures in humans, the circadian changes in core temperatures and also the dependence of core temperature on the menstrual cycle.",Define the thermoneutral comfort zone.,Enlist the major physiologic mechanisms preventing from the development of either hypethermia or hypothermia.,The VanÅEEEEEEEEEEft HoffÅEEEEEEEEEEfs rule.,"Metabolic heat production: the respective contributions of basal metabolic rate, physical exercise, and shivering to heat production.","Non-shivering thermogenesis: the structure and function of brown adipose tissue, the control of its activity.",The control mechanisms of cutaneous blood flow: specific features of the microcirculation in acral and non-acral regions.,Contrast local and neural control of cutaneous blood flow.,Discuss the unique characteristics of skin blood flow that are adaptive for body temperature regulation.,"Describe the structure, function, and neuronal control of eccrine sweat glands.",Describe the cellular mechanisms of fluid secretion by the secretory coil and the ductal NaCl reabsorption.,List and describe the physiological changes that occur as a result of acclimatization to heat and cold.,"Describe the neuronal components of thermoregulatory reflexes: peripheral and central thermoreceptors, the neuronal groups in the preoptic area, the hypothalamus, the brain stem and the spinal cord and their connections to form negative-feedback thermoregulatory control circuits.",Define the thermoregulatory 'set point'.,"Explain how the change in core temperature that accompanies exercise or passive heat accumulation differs from fever produced by infections (such as influenza), which alter the thermoregulatory set point."
84. Sports physiology.,"Describe the possible energy sources, basic pathways of energy metabolism and hormonal regulation of metabolism of the exercising skeletal muscle.",Classify muscle fibers according to their bioenergetics.,Explain how the duration and the intensity of exercise determine the predominant metabolic pathway and the main fuels of striated muscle.,Explain different methods for the measurement of energy expenditure during exercise.,Define fatigue and exhaustion and mention some of their possible underlying mechanisms.,"Characterize quantitatively the acute cardiorespiratory effects of exercise (heart rate, cardiac output, blood pressure, respiratory rate, lactate threshold, ventilation and oxygen uptake (VO2)).","Describe the cardiovascular, respiratory and muscular effects of training.",Compare the above mentioned parameters in untrained and trained subjects at rest and during exercise.,,,,,,,,,
85. The development and physiology of the male reproductive system,"Define chromosomal, gonadal and somatic sex.","Compare and contrast the actions of testosterone, dihydrotestosterone, estradiol, and Mullerian inhibitory factor in the development of the male and female reproductive tracts.",Describe the physiological functions of the major components of the male reproductive tract.,"Describe spermatogenesis and the role of Sertoli cells, Leydig cells and the basement membrane in this process.",Describe the blood-testis barrier.,"Describe the endocrine regulation of testicular function: the role of the GnRH pulse generator, FSH, LH, testosterone, and inhibin.","Describe the biosynthesis, mechanism of transport within the blood, metabolism and elimination of testosterone and related androgens.",List the major target organs and cell types for testosterone and other androgens.,Describe the actions and cellular mechanisms of testosterone and related androgens.,Identify the consequences of over-secretion and under-secretion of testosterone for a) prepubertal and b) postpubescent males.,,,,,,,
"86. The physiology of the female reproductive system, the menstrual cycle.","Graphically illustrate the timing of changes in blood levels of FSH, LH, estradiol, and progesterone, and correlate these with structural changes in the endometrium and the ovary seen during the menstrual cycle.","Graphically illustrate the timing of changes in blood levels of FSH, LH, estradiol, and progesterone, and correlate these with structural changes in the endometrium and the ovary seen during the menstrual cycle.",Describe how the changes in ovarian steroids produce the proliferative and secretory phases of the uterine endometrium and menstruation and the changes in basal body temperature during the menstrual cycle.,Describe oogenesis and its relationship to changes in the ovarian follicle.,"Explain the roles of FSH, LH, estradiol, and inhibin in oogenesis and follicular maturation.",Describe ovulation and the formation and decline of the corpus luteum and the roles of hormones in each of these processes.,Describe the hormonal regulation of estrogen and progesterone biosynthesis and secretion by the ovary.,"Identify the cells responsible for their biosynthesis, the mechanism of their transport in the blood, and how they are degraded and removed from the body.",List the major target organs and cell types for estrogen action and describe its effects on each.,Describe the actions and cellular mechanisms of estrogen.,"List the principal physiological actions of progesterone, its major target organs and cell types, and describe its effects on each.",Describe the actions and cellular mechanisms of progesterone and other progestins.,ain the physiological basis of steroid hormone contraception.,,,,
"87. The physiology of the sexual act, fertilization, and implantation.","Describe the neural, vascular, and endocrine components of the erection, emission and ejaculation response.","Describe the neural vascular, and endocrine components of the changes in the female reproductive organs associated with sexual arousal and orgasm.","Describe the process of fertilization, including capacitation and the acrosome reaction, and the movement of the blastocyst to the uterus.",Describe the process of implantation.,,,,,,,,,,,,,
"88. The neuroendocrine control of pregnancy, parturition and lactation.",List the protein hormones secreted by the placenta and describe the role of human chorionic gonadotropin (hCG) in the rescue of the corpus luteum in maintaining pregnancy early postimplantation. ,Explain the hormonal basis of pregnancy tests.,Describe the interactions between the placenta and the fetus in the pathway for production of estrogens during pregnancy (the so-called fetoplacental unit).,Describe further hormonal systems determining intrauterine development of the fetus.,"Discuss the roles of sex steroids, oxytocin, relaxin, and prostaglandins in the initiation and maintenance of parturition.","Explain the role of hormones in mammary gland development during puberty, pregnancy, and lactation.",Explain the basis for the inhibition of milk secretion during pregnancy and the initiation of lactation after parturition.,Describe the neuroendocrine regulation of milk secretion and milk ejection.,"Enlist the stimuli responsible for the release of oxytocin, and the effects of oxytocin (Ferguson-reflex).",,,,,,,,
"89. The fetal circulation, the cardiorespiratory adaptation of the neonate.","Describe the progressive changes in maternal blood volume, cardiac output, and peripheral resistance during pregnancy and at delivery.","Contrast the blood flow pattern in the fetus with that of a normal neonate, including the source of oxygenated blood.","Describe the function in utero of the fetal ductus venosus, foramen ovale, and ductus arteriosus.",Discuss the relative differences in oxygen saturation and pressure for blood in the major blood vessels and cardiac chambers of the fetus.,Explain the cause of neonatal jaundice (icterus neonatorum).,,,,,,,,,,,,
90. Physiology of growth and puberty.,List the hormones and paracrine mediators that play an important role in extrauterine somatic growth.,Describe the relationship between growth hormone and the insulin-like growth factors and their binding proteins in the regulation of growth.,Explain the regulation of growth hormone secretion.,Describe the circadian rhythm of growth hormone secretion.,Identify the target organs or cell types for insulin-like growth factors that account for longitudinal growth.,Describe the metabolic and growth promoting actions of growth hormone.,Describe the consequences of growth hormone overproduction a) before and b) after the cessation of longitudinal bone growth.,Describe developmental changes in the male and female reproductive systems during puberty.,"Describe the stages of puberty in females: adrenarche, thelarche, pubarche, menarche.",What do these expressions mean?,What effects are responsible for these?,What are the effects of sex steroids on somatic growth?,,,,,
"91. The control of cerebral blood flow, the cerebrospinal fluid, barrier systems of the brain.","Give the normal value of cerebral blood flow, and its percentage to the resting cardiac output.",Contrast the significance of local and systemic neural control of cerebral blood flow.,"Discuss the relative importance of PO2, PCO2, pH and blood glucose level in regulating cerebral blood flow.",Describe the mechanisms of local cerebral metabolism- blood flow coupling and its significance in relation to fMRI.,Explain the role of astrocytes in maintaining neuronal milieu.,"Describe formation and reabsorption of cerebral spinal fluid (CSF), including the anatomy and function of the choroid plexus.",Describe the structural components of the blood brain barrier and how this barrier impedes the movement of various substances from the blood to neurons.,Contrast the barrier mechanisms between the blood brain barrier and the blood CSF barrier.,"Locate and identify the brain regions outside the blood-brain barrier, and describe the function of circumventricular organs.","Describe the normal pressure, flow, volume, and composition of the CSF.",,,,,,,
92. The somatosensory nervous system: receptors.,"Characterize the somatosensory receptors according to their 1. modality, 2. source of the stimulus, and 3. histological structures.","Describe the cutaneous mechanoreceptors and their functions: Pacinian corpuscles, MeissnerÅEEEEEEEEEEfs corpuscles, Ruffini endings, Merkel cell, free nerve endings.",Define the concept of a dermatome and explain the dermatomal organization of the head and body.,Define the concept of a somatosensory receptive field and explain how dermatomes and receptive fields are related.,"Define the terms receptor sensitivity, receptor specificity, and receptive field.",Explain how the peripheral innervation density is related to receptive field size.,Define rapidly and slowly adapting sensory reception.,,,,,,,,,,
93. The somatosensory nervous system: the dorsal column ascending pathways.,Describe the submodalities of somatic sensibility subserved by the Dorsal Column-Medial Lemniscus system.,Describe the functional properties of the Dorsal Column-Medial Lemniscus system.,List the neural components of the Dorsal Column-Medial Lemniscus system and its Trigeminal analogs.,Discuss what is meant by the Fine Touch System and be able to trace its connections to the cerebral cortex.,"Describe the topographic representation of the body at the level of the dorsal column nuclei, the ventrobasal thalamus, and the somatic sensory cortex.",Explain how peripheral innervation density influences the size of the representation area in the postcentral gyrus.,Define two-point discrimination and tell how it is related to peripheral innervation density and receptive field size.,Describe the factors that contribute to the high somatic sensory acuity of the hands and face.,Describe how lateral inhibition improves spatial two-point discrimination.,Describe signs and symptoms of Dorsal Column-Medial Lemniscus system dysfunction.,,,,,,,
94. The somatosensory nervous system: the anterolateral (spinothalamic) ascending pathways.,Describe the submodalities of somatic sensibility subserved by the spino-thalamic system.,"Describe the ascending sensory pathways and their connections with the cerebral cortex conveying nociceptive, thermal and tactile (coarse touch) sensory information.",List the neural components of the spino-thalamic system and its trigeminal analogues.,List the functional properties of the spino-thalamic system.,Describe the difference between the modality specific and wide dynamic range type interneurons/projection neurons in the spinal dorsal horn.,Describe the connections of the anterolateral pathway with the brainstem and the hypothalamus.,"Provide examples to illustrate the functional importance of these anatomical connections (sensory stimulus-evoked cardiorespiratory and other autonomic reactions, arousal, changes in the muscle tone, thermoregulatory reflexes).",Describe the deficits caused by lesions in the spino-thalamic system.,,,,,,,,,
95. The somatosensory nervous system: nociception and pain.,Describe the concepts of nociceptor and nociception.,Definition of pain.,Describe the cellular mechanisms of nociceptor activation.,Differentiate between fast and slow pain and identify the peripheral nerve fibers and central connections that account for these different types of pain.,Describe the reactions of the body evoked by noxious stimulation.,Describe the components of the descending pain control (endogenous analgesic) system.,Describe how endogenous opiates may modulate the pain experience.,Describe the key features of visceral nociception.,Describe the mechanism of referred pain of visceral origin.,"Describe the concept of Head zones, list 3 characteristic localizations of referred visceral pain.",Describe the main mechanisms of development of inflammatory pain.,Explain the terms hyperalgesia and allodynia.,Compare nociception with itch sensation.,,,,
"96. The visual system: protection of the eye, image formation, refraction errors.","Describe the function and importance of tear secretion, the composition of tear, the control of tear secretion (parasympathetic innervation).",Describe the so called palpebral-reflexes.,Integration of the palpebral reflexes in the CNS.,Describe the gross anatomical structure of the eye and basic physiological optics.,"Describe the refraction of light as it passes through the eye to the retina, identifying the eye components that account for refraction of light.",Define 'refractory power' and its unit.,"Describe the process of accommodation, contrasting the refraction of light by the lens in near vision and in far vision.",List the components of the accommodation triad.,Define the 'near point'.,Explain the method of measuring visual acuity using the Snellen/Csapody chart and the normal value of visual acuity (visus).,What is the Javal-Schiotz ophthalmometry used for?,"Describe the refractive deficits that account for myopia, hyperopia, presbyopia, astigmatism and their correction.","Explain the production, circulation and absorption of the aqueous humour.",Give the normal value of intraocular pressure and explain what tonometry is.,Explain glaucoma.,,
"97. The visual system: the function of the photoreceptors, retinal signal processing.",List the structure and cell types of the human retina.,Understand the intrinsic circuitry of the retina and its functioning.,"Explain the properties of the different photoreceptor types: number, distribution in the retina, chromatic and luminance properties (scotopic and photopic vision), critical flicker fusion frequency.","Describe the basic biochemistry of the photo-transduction process, the 'dark current', and the photoreceptor response to capturing a photon.",Explain the phenomenon of the Purkinje shift.,Explain how adaptation to darkness and light works.,"Understand the connectivity and synaptic interactions of photoreceptors, horizontal cells and bipolar cells in the construction of center-surround antagonistic receptive fields.","Describe the electrical responses produced by bipolar cells, horizontal cells, amacrine cells, and ganglion cells, and comment on the function of each.",Describe how different post-synaptic receptors create depolarizing or hyperpolarizing responses and how they are organized to create different ON-center and OFF-center responses and the antagonistic surrounds.,,,,,,,,
98. The visual system: the visual field and the visual pathways.,"Trace the projections of the visual hemifields onto the retina (nasal/temporal), describe the retinothalamo-striate pathway.",Explain how the crossing of optic nerve fibres accounts for visual field representations at each stage.,"Predict the visual field deficits resulting from the following lesions in the visual pathway: retinal lesion, optic nerve lesion, optic chiasm, optic tract, LGN (lateral geniculate nucleus), optic radiations and primary visual cortex.",Explain the method of perimetry for the determination of the visual field.,Explain why people have a physiological scotoma (blind spot).,"Describe the extrageniculate projections (suprachiasmatic nucleus, superior colliculus, pretectum) of retinal ganglion cells and their importance.",Review the midbrain path for the pupillary light reflex.,How do you interpret the presence / absence of the direct and consensual reflex?,,,,,,,,,
99. The visual system: the control of eye movements.,List the extraocular muscles and the innervating motor nerves.,Classify the eye movements based on the relationship of the optical axes and on speed.,Explain the importance of the pursuit eye movements.,What are saccadic eye movements and what is their biological function?,What is the function of the fixation periods between saccades? ,Explain the importance of microsaccades.,Explain optokinetic nystagmus.,Describe the structures involved in controlling eye movements.,,,,,,,,,
100. The visual system : cerebrocortical mechanisms.,Describe the structural and functional specializations of the lateral geniculate nucleus (LGN).,Describe the receptive field characteristics of the cells in the primary visual cortex.,Explain the general functional organization of V1.,"Describe the topographic representation of the visual field within the primary visual cortex including the topics of retinotopic organization, orientation selectivity, ocular dominance and cortical blobs.","Recognize how centre-surround antagonistic receptive fields are combined to report complex parameters, such as orientation specificity and motion detection.",Differentiate between the general organization and functional specializations of the dorsal and ventral extrastriate visual streams.,Describe the processing of information in the visual cortex and in the higher visual association areas.,Differentiate the retino-thalamo-cortical pathway from extrastriate visual projection systems.,,,,,,,,,
"101. The visual system : binocular vision, color vision.",Describe monocular cues supporting spatial vision.,"Explain the followings: corresponding retina points, horopter; describe binocular disparity and its relationship to stereopsis.","Explain the neuronal mechanisms for colour vision and the following terms: achromatopsy, protanopy, deuteranopy, tritanopy, protanomaly, deuteranomaly, tritanomaly.",Explain how colour vision can be tested (Ishihara plates).,,,,,,,,,,,,,
102. Hearing: the function of the outer and the middle ear. Hearing tests.,"Define the following categories: pure (basic) tone, sound (musical tone), noise.","Define the frequency, the loudness and intensity of the sound, propagation of the sound, sound pressure level (dB), subjective loudness (phon), equal loudness curves (isophones).",Draw the human audibility curve and explain the changes that occur with aging.,"Describe the function of the outer, middle, and inner ear structures in the mechano-electrical transduction process of sound energy into nerve impulses.",Describe the acoustic impedance matching.,Describe the differences between bone and air conduction.,Describe the nerves and muscles in the middle ear and explain their role in withdrawal reflexes.,"Define the difference between conductive, sensory and neural loss of hearing.","Introduce the following hearing tests and explain how they contribute to the diagnosis of hearing disorders: audiometry, Weber test, Rinne test and tympanometry.",Presbyacusis.,,,,,,,
"103. Hearing: the function of the inner ear, auditory pathways.","Explain the frequency analysis performed by the cochlea on the basis of its physical properties (Bekesy theory, tonotopy).",Identify the neuronal elements of the organ of Corti.,Define the endocochlear potential.,Explain the function of inner and outer hair cells.,Define the otoacoustic emission.,Explain how deformations of the basilar membrane are converted into action potentials in auditory nerve fibers.,Describe the auditory pathway and explain the role of analysis of auditory evoked potentials in the examination of its elements.,"Describe how pitch, loudness, and localization of sounds in space are coded by central auditory neurons. ",Describe the role of frequency code and population code in hearing and explain the binaural hearing.,,,,,,,,
104. The physiology of olfaction.,"Describe the location, structure, and afferent pathways of smell receptors.",Describe the olfactory cilium and the family of olfactory receptors housed in its membrane.,Explain how olfactory receptors are activated and explain the mechanism of olfactory transduction.,Explain the term molecular receptive range.,"Explain the terms topography, spatial topography, and functional topography in the olfactory system.","Describe the structure and functions of the first central relay station for olfactory Information (the olfactory bulb), its afferent input, and efferent output.","Describe the structure and function of the central olfactory centers beyond the olfactory bulb, the cortical representation of olfaction.","Define the following terms: anosmia, hyposmia, dysosmia.",,,,,,,,,
105. The physiology of taste sensation.,"Describe the location, structure, and afferent pathways of taste receptors.",Describe the cells of a taste bud.,Identify the three cranial nerves that transmit taste information to the cerebral cortex.,Describe the structure and function of the central taste centers.,"Name the basic taste sensations, i.e., identify the five distinct gustatory modalities.",Explain how taste receptors are activated and explain the mechanism of taste transduction for each taste quality.,"Define the following terms: ageusia, dysgeusia.",,,,,,,,,,
106. The motor reflex. The structure and function of muscle proprioceptors.,Describe the reflex arc from stimuli to reflex actions.,What is the difference between exteroceptive and proprioceptive reflexes?,Define the notion of proprioception and describe the proprioceptors.,Define the main functions of muscle spindles and Golgi tendon organs.,"Delineate the localization, structure, and sensory/motor innervation of muscle spindles and Golgi tendon organs.",Describe the intrafusal and extrafusal muscle fibers and provide a classification for intrafusal fibers.,"What is the difference between Ia, II, and Ib afferents?",Define the structure and function of gamma and alpha motoneurons.,,,,,,,,,
107. The myotatic and the inverse myotatic spinal reflex.,"Define the notion of myotatic and inverse myotatic reflexes, describe the receptors and the adequate stimuli.",Trace the path of neuronal activity during the knee-jerk (patellar) reflex and describe the reflex arc.,Compare the reflex arc of the knee-jerk reflex with that of the inverse myotatic reflex.,Describe the agonist and antagonist muscles and the mechanism of reciprocal innervation.,"Describe the biceps, triceps, and Achilles-tendon reflexes and the corresponding segments of the spinal cord.",What is the Jendrassik maneuver?,"What are hyporeflexia, hyperreflexia, and clonus?",,,,,,,,,,
108. The gamma fusimotor servomechanism (gamma-loop).,Define the gamma motoneurons and the muscle fibers that are innervated by these neurons.,What happens to the structure and sensitivity of the muscle spindle when the alpha motoneurons are activated and the extrafusal fibers are contracted?,Explain how the activity of gamma motoneurons is able to compensate the changes in the structure and sensitivity of muscle spindles due to the contraction of the extrafusal muscle fibers (alphagamma coactivation).,Define the notion of muscle tone and explain the role of the gamma loop in the maintenance of muscle tone and in the regulation of deep tendon reflex intensity.,,,,,,,,,,,,,
109. Exteroceptive spinal reflexes.,Describe the receptors and their adequate stimuli.,Describe the reflex arc of the flexor-extensor reflex.,Compare the nociceptive and non-nociceptive exteroceptive reflexes.,Describe the abdominal skin reflex and the plantar reflex.,,,,,,,,,,,,,
110. The spinal integration of rhythmic locomotive movements. The spinal interneurons.,Enlist the types of rhythmic locomotive movements.,What is the notion and function of central pattern generator (CPG)?,Explain the cyclic alteration of the activity of flexors and extensors during these movements and the role of intersegmental integration.,What is after discharge and rebound?,"Describe the localization, types and functions of interneurons in the spinal cord.",What are the inhibitory neurotransmitters in the spinal cord?,Explain the mechanism of action of muscle relaxants and strychnine.,,,,,,,,,,
111. The consequences of spinal cord hemisection and transection.,What is the lower (alpha) motoneuron?,"What kind of alterations can be observed in muscle tone, power, muscle mass, and tendon reflexes after the injury of lower motoneurons?",What is atrophy and fasciculation?,What is the spinal shock?,"What are the sensory, motor, and vegetative consequences of the total spinal cord transection?","Define the following terms: tetraplegia, paraplegia, hemiplegia and paresis.",Enlist the functions that can and cannot be recovered after spinal shock in humans.,Explain the symptoms of the Brown-Sequard syndrome.,,,,,,,,,
112. The control of muscle tone.,"Define muscle tone and its alterations: hypotonia, atonia, rigidity, and spasticity.",Explain the role of alpha and gamma motoneurons in the regulation of muscle tone.,Enlist the brainstem neuronal structures participating in the regulation of muscle tone and explain their role in flexor and extensor tone.,What is the effect of cortical and cerebellar lesion on muscle tone?,What are the symptoms of decerebration and decortication (upper motoneurons lesion)?,"How will the muscle tone, power, muscle mass, and tendon reflex activity change? What is the mechanism?",Enlist the pathways and functions of the lateral and medial descending systems.,,,,,,,,,,
113. The control of body posture. The vestibular system.,Define the statotonic and statokinetic reaction and enlist the sensory mechanisms implicated in the control of posture and gait.,Delineate the elements of the vestibular system (semicircular canals and otolith organs).,Explain the function of hair cells.,"Endolymph, perilymph, receptor potential, activity of the vestibular nerve.",Compare the functions of the semicircular canals and otolith organs.,"Describe the reflexes of the vestibular system: sustaining postural reflex, vestibulocollic and vestibuloocular reflex.","Define and describe the types of nystagmus: optokinetic, rotatoric, postrotatoric, and caloric nystagmus and their mechanisms.",Explain the significance of neck proprioceptors in the regulation of gait and posture and give some examples.,,,,,,,,,
114. The cerebrocortical control of movements.,Enlist the parts and localization of the motor cortex.,Describe the functions of the primary motor cortex.,Somatotopic organization and plasticity.,"Describe the origin, path, and function of the corticospinal tract.",Consequences of lesions.,Explain the 'long-loop' reflexes.,Enlist the functions of the premotor cortex.,Enlist the functions of the supplementary motor cortex.,"Compare the mechanisms of stimulus-driven actions and internally generated, planned actions.",Explain the role of the multimodal sensory cortex (posterior parietal lobe) and prefrontal cortex.,Mention some of the symptoms caused by the lesion of the motor cortex and posterior parietal cortex.,,,,,,
115. The cerebellum.,Enlist the main parts of the cerebellum and the histological layers.,Delineate the functional network of the cerebellum.,Describe the mechanism of excitation and inhibition in the cerebellar network.,"Describe the electrophysiological properties of the Purkinje cell (complex action potential, climbing fiber LTD and motor learning).","Describe the parts of the vestibulocerebellum, afferents, efferents, function.","Describe the parts of the spinocerebellum, afferents, efferents, function.","Describe the parts of the cerebrocerebellum, afferents, efferents, function.",Mention a few symptoms caused by the lesion of the cerebellum.,,,,,,,,,
116. The basal ganglia.,Enlist the parts of the basal ganglia and their anatomical localization.,Describe the main neurochemical systems in the basal ganglia.,What is the function of the direct pathway?,What is the function of the indirect pathway?,"Discuss the sensory, motor, and cognitive functions of the basal ganglia.",Describe the clinical conditions associated with hypokinesis and hyperkinesis.,,,,,,,,,,,
117. The integration of autonomic functions in the CNS. Functions of the hypothalamus.,Functional anatomy of the autonomic nervous system.,Characterization of the autonomic innervation of visceral organs.,Autonomic reflexes.,,Hierarchical organization of the autonomic nervous system. ,Afferent and efferent neurohumoral connections of the hypothalamus.,Hypothalamic control of visceral functions.,Functional anatomy of the hypothalamus.,Walter Hess and the integrative action of the hypothalamus.,"Central nervous integration of sensory, motor and autonomic functions and behavior.",The autonomic nervous system and the limbic system.,Cortical control of autonomic functions.,,,,,
118. The functions of the limbic system. Emotions.,"Describe the neuronal structures belonging to the limbic system, and list their functions.",Explain the importance of the connection between the cerebral cortex and amygdala in cognitive and emotional behaviour.,What is the function of the olfactory system within the limbic system?,What is the connection between the limbic system and the autonomous nervous system?,"Describe emotions as adaptive mechanisms, their central representations and their effect on the homeostasis.","Explain the connection between homeostatic need, motivation and the cerebral reward system.",,,,,,,,,,,
119. Electroencephalogram (EEG) and the physiology of sleep-wake cycles.,Describe the origin (the electrophysiological basis) of the electroencephalogram.,"Describe the EEG waves (frequency ranges, amplitude) of the EEG, and identify the brain states typically associated with these different waveforms.","Describe the conceptual basis of recording evoked potentials, and describe the importance of evoked potentials in neuroscience.","Describe the changes of the brain electrical activity (EEG) during shifts from wakefulness to non-REM, and then to REM sleep phases.","Describe the features of human sleep (length and number of sleep cycles during the sleep, changes in the duration of non-REM/REM phases in consecutive sleep cycles).","Outline the current understanding of regulatory mechanisms regulating the appearance of NREM, REM and wake states.",Include the brain structures and neurotransmitters involved and the mechanism of the circadian rhythm underlying the sleep-wake cycle.,"Describe how respiration, cardiovascular, renal, gastrointestinal, eye movement, muscle, and endocrine function change from wake to NREM and REM states.",Define the term: polysomnography.,,,,,,,,
120. The circadian rhythm and the pineal gland.,,Define and describe the most important features of circadian rhythms.,Give examples of physiological changes characterized by circadian rhythmicity.,Explain the features of the suprachiasmatic nucleus (SCN) that make this nucleus suitable to function as a circadian pacemaker (Zeitgeber).,Describe the role of the retinohypothalamic pathway in synchronizing SCN activity with the light-dark cycling.,"Describe the structure and autonomic innervation (nervi conarii) of the pineal gland, and the biosynthesis of melatonin - the hormone secreted by the pinealocytes.",Describe the neuronal pathways connecting the SCN to the pineal gland in order to give explanation for the circadian changes in melatonin secretion.,"What is our current understanding of the physiological functions of melatonin? (melatonin receptors, endocrine circadian transducer)",,,,,,,,,
"121. Cognitive functions, neuronal correlates of language",Define the term of cognition and enumerate the main functions included.,Define the levels of language organization.,Describe the classic model of language localization in the brain (Wernicke-Geschwind).,"Explicate the limitations of the Wernicke-Geschwind-model, and provide some alternative explanations.","Specify the term of aphasia, describe the main types and typical brain lesions.",Define the Gerstmann syndrome and its neuronal basis.,,Define the neglect syndrome and its neuronal basis.,Describe the main principles of human hemispheric specialization.,,,,,,,,
"122. Neuronal plasticity, learning and memory",Define the terms of learning and memory and enumerate the main types of learning.,Compare habituation and sensitization.,Compare classic (Pavlovian) and operant conditioning.,Compare episodic and semantic learning.,Specify the neuronal basis of explicit (declarative) memory.,"Specify the molecular mechanisms of long-term potentiation (LTP) and long-term depression (LTD) (initiation, specific receptors and enzymes, localization in the central nervous system).",Specify the neuronal basis of implicit (non-declarative) memory.,,,,,,,,,,
